@relation BioHBioHBioHBioHBioHBioH-User-36-Scrollingtest/BioHBioHBioHBioHBioHBioH-User-36-Scrollingtest_9.arff
@attribute att_0_0 real
@attribute att_0_1 real
@attribute att_1_0 real
@attribute att_1_1 real
@attribute att_2_0 real
@attribute att_2_1 real
@attribute att_3_0 real
@attribute att_3_1 real
@attribute att_4_0 real
@attribute att_4_1 real
@attribute att_5_0 real
@attribute att_5_1 real
@attribute class { 0,1 }
@data
0.257,0.743,0.257,0.743,0.000,1.000,0.000,1.000,0.547,0.453,0.547,0.453,0
1.000,0.000,1.000,0.000,1.000,0.000,1.000,0.000,0.917,0.083,0.917,0.083,0
0.257,0.743,0.257,0.743,0.000,1.000,0.000,1.000,0.547,0.453,0.547,0.453,0
0.963,0.037,0.963,0.037,1.000,0.000,1.000,0.000,0.878,0.122,0.878,0.122,0
0.963,0.037,0.963,0.037,1.000,0.000,1.000,0.000,0.878,0.122,0.878,0.122,0
0.689,0.311,0.689,0.311,1.000,0.000,1.000,0.000,0.623,0.377,0.623,0.377,0
0.257,0.743,0.257,0.743,0.000,1.000,0.000,1.000,0.547,0.453,0.547,0.453,0
0.857,0.143,0.857,0.143,1.000,0.000,1.000,0.000,0.938,0.062,0.938,0.062,0
0.963,0.037,0.963,0.037,1.000,0.000,1.000,0.000,0.878,0.122,0.878,0.122,0
0.689,0.311,0.689,0.311,1.000,0.000,1.000,0.000,0.623,0.377,0.623,0.377,0
0.689,0.311,0.689,0.311,1.000,0.000,1.000,0.000,0.623,0.377,0.623,0.377,0
0.689,0.311,0.689,0.311,1.000,0.000,1.000,0.000,0.623,0.377,0.623,0.377,0
0.963,0.037,0.963,0.037,1.000,0.000,1.000,0.000,0.878,0.122,0.878,0.122,0
0.689,0.311,0.689,0.311,1.000,0.000,1.000,0.000,0.623,0.377,0.623,0.377,0
0.633,0.367,0.633,0.367,0.000,1.000,0.000,1.000,0.497,0.503,0.497,0.503,1
0.689,0.311,0.689,0.311,1.000,0.000,1.000,0.000,0.623,0.377,0.623,0.377,1
0.257,0.743,0.257,0.743,0.000,1.000,0.000,1.000,0.547,0.453,0.547,0.453,1
0.257,0.743,0.257,0.743,0.000,1.000,0.000,1.000,0.547,0.453,0.547,0.453,1
0.257,0.743,0.257,0.743,0.000,1.000,0.000,1.000,0.547,0.453,0.547,0.453,1
0.666,0.334,0.666,0.334,1.000,0.000,1.000,0.000,0.969,0.031,0.969,0.031,1
0.257,0.743,0.257,0.743,0.000,1.000,0.000,1.000,0.547,0.453,0.547,0.453,1
0.002,0.998,0.002,0.998,1.000,0.000,1.000,0.000,0.840,0.160,0.840,0.160,1
0.689,0.311,0.689,0.311,1.000,0.000,1.000,0.000,0.623,0.377,0.623,0.377,1
0.002,0.998,0.002,0.998,0.000,1.000,0.000,1.000,0.000,1.000,0.000,1.000,1
0.857,0.143,0.857,0.143,1.000,0.000,1.000,0.000,0.938,0.062,0.938,0.062,1
0.257,0.743,0.257,0.743,0.000,1.000,0.000,1.000,0.547,0.453,0.547,0.453,1
0.689,0.311,0.689,0.311,1.000,0.000,1.000,0.000,0.623,0.377,0.623,0.377,1
0.257,0.743,0.257,0.743,0.000,1.000,0.000,1.000,0.547,0.453,0.547,0.453,1
0.257,0.743,0.257,0.743,0.000,1.000,0.000,1.000,0.547,0.453,0.547,0.453,1
0.689,0.311,0.689,0.311,1.000,0.000,1.000,0.000,0.623,0.377,0.623,0.377,1
0.257,0.743,0.257,0.743,0.000,1.000,0.000,1.000,0.547,0.453,0.547,0.453,1
0.257,0.743,0.257,0.743,0.000,1.000,0.000,1.000,0.547,0.453,0.547,0.453,1
